event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12730,2018-07-08,Akwa Ibom,Inyang Etim Ekpo,Protests,08 July. Youths in Etim Ekpo Local Government Area of Akwa Ibom State protested an attack ('at the weekend') on the pala...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12728,2018-07-08,FCT,Abuja,Protests,08 July. Members of Athletics Federation of Nigeria protest in Abuja over 'poor welfare.',0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12754,2018-07-09,Ondo,Akure,Protests,"On 09 July 2018, workers at the Federal Radio Corporation of Nigeria (FRCN) in Ibadan and Akure on Monday held a peacefu...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12755,2018-07-09,Oyo,Ibadan,Protests,09 July. Workers at the Federal Radio Corporation of Nigeria (FRCN) in Ibadan and Akure on Monday held a peaceful protes...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12751,2018-07-09,Ondo,Akure,Protests,09 July. Scores of Ondo State Emergency Medical Services Agency (ODEMSA) workers demonstrated in Akure to protest agains...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12749,2018-07-09,Lagos,Lagos,Protests,"09 July. Members of Nigeria Labour Congress protested at the Bauchi, Lagos and Kano offices of MTN, a telecom company ov...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12748,2018-07-09,Bauchi,Bauchi,Riots,"09 July. Members of Nigeria Labour Congress protested at the Bauchi, Lagos and Kano offices of MTN, a telecom company ov...",0,0.0,0.0,0.0,0.0,No,Flagged by dedup,,,,,,,
NIG12750,2018-07-09,Kano,Kano,Protests,"09 July. Members of Nigeria Labour Congress protested at the Bauchi, Lagos and Kano offices of MTN, a telecom company ov...",0,0.0,0.0,0.0,0.0,No,Flagged by dedup,,,,,,,
NIG12731,2018-07-09,Borno,Abadam,Strategic developments,"09 July, on or before. Military forces gain control of Mallam Matsari village (believed to be in Abadam LGA) after Boko ...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12753,2018-07-09,Borno,Arege,Battles,09 July. Military forces report 15 Boko Haram fatalities following an encounter in Arere.,15,0.0,15.0,0.0,0.0,No,No,,,,,,,
